ING; №   Накл.;Дата продажи; №  п/п;Артикул+Название;Кол-во;Фирма;Витр;Work;Метка;Учет;Ost_Old;Ost_New;Baza_Old;;;Baza_new;;
4849;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4850;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4005;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4006;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4837;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4838;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4175;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4135;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4856;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4032;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4058;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4036;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4825;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4010;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4861;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4074;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4062;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4862;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4075;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4063;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4064;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4040;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4840;15625;14.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4863;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4011;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4826;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4222;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4066;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4014;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4217;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4045;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4121;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4123;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4209;15625;14.01.2019;;;150;D+Z;;;бн;;;;;;;;;
4830;15625;14.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4055;15627;15.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4212;15627;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4059;15627;15.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4222;15627;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4055;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4124;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4023;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4000;15629;15.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4001;15629;15.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4002;15629;15.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4087;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4140;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4035;15629;15.01.2019;;;5;D+Z;;;бн;;;;;;;;;
