День п/п;Дата;д.н.;Приход;Расход;На складе;Дней пр.;
1042;18.11.2018;1;;;2135;;
1043;19.11.2018;2;;;2135;;
1044;20.11.2018;3;;;2135;;
1045;21.11.2018;4;0;15;2135;;
1046;22.11.2018;5;;;2120;;
1047;23.11.2018;6;;;2120;;
1048;24.11.2018;7;;;2120;;
1049;25.11.2018;1;;;2120;;
1050;26.11.2018;2;;;2120;;
1051;27.11.2018;3;;;2120;;
1052;28.11.2018;4;;;2120;;
1053;29.11.2018;5;0;70;2120;;
1054;30.11.2018;6;0;80;2050;;
1055;01.12.2018;7;;;1970;;
1056;02.12.2018;1;;;1970;;
1057;03.12.2018;2;0;5;1970;;
1058;04.12.2018;3;0;10;1965;;
1059;05.12.2018;4;;;1955;;
1060;06.12.2018;5;0;85;1955;;
1061;07.12.2018;6;;;1870;;
1062;08.12.2018;7;;;1870;;
1063;09.12.2018;1;;;1870;;
1064;10.12.2018;2;0;5;1870;;
1065;11.12.2018;3;0;5;1865;;
1066;12.12.2018;4;;;1860;;
1067;13.12.2018;5;;;1860;;
1068;14.12.2018;6;0;10;1860;;
1069;15.12.2018;7;;;1850;;
1070;16.12.2018;1;;;1850;;
1071;17.12.2018;2;0;25;1850;;
1072;18.12.2018;3;0;40;1825;;
1073;19.12.2018;4;;;1785;;
1074;20.12.2018;5;;;1785;;
1075;21.12.2018;6;0;45;1785;;
1076;22.12.2018;7;;;1740;;
1077;23.12.2018;1;;;1740;;
1078;24.12.2018;2;0;20;1740;;
1079;25.12.2018;3;;;1720;;
;Склад;;;;1720;;
