,balance,consumption
125,3898.9161425541834,1812
126,0.0,1860
127,5162.254233156992,1832
128,0.0,1757
129,3386.1209679683743,1699
130,0.0,1709
131,3565.3933230200096,1787
132,0.0,1882
133,3791.6471362206476,1930
134,0.0,1902
135,5075.962395009093,1827
136,0.0,1769
137,3564.9318728869657,1779
138,0.0,1857
139,3966.556551701886,1952
140,0.0,2000
141,3962.611929956044,1972
142,0.0,1897
143,3607.973630769994,1839
144,0.0,1849
145,3858.935643649012,1927
146,0.0,2022
147,4082.135677669149,2070
148,0.0,2042
149,4111.158547896384,1967
150,0.0,1909
151,3930.584711788192,1919
152,0.0,1997
153,4351.769894566215,2092
154,0.0,2139
155,4238.671992133952,2112
156,0.0,2037
157,3948.008372677393,1979
158,0.0,1989
159,4169.6779705368845,2067
160,0.0,2162
161,4183.600151953997,2210
162,0.0,2182
163,4201.441451531981,2107
164,0.0,2049
165,4426.09995442636,2059
166,0.0,2137
167,4432.262442264853,2232
168,0.0,2280
169,4583.451669149452,2252
170,0.0,2177
171,4250.268449717632,2119
172,0.0,2129
173,4473.638171284339,2207
174,0.0,2302
175,4589.200674257618,2350
176,0.0,2322
177,4402.286253398512,2247
178,0.0,2189
179,4400.821892233607,2199
180,0.0,2277
181,4921.734315781416,2372
182,0.0,2420
183,4821.342723087443,2392
184,0.0,2317
185,4444.378413308463,2259
186,0.0,2269
187,4745.277104282864,2347
188,0.0,2442
189,4798.518764348715,2490
190,0.0,2462
191,4867.184158699198,2387
192,0.0,2329
193,4721.278586034632,2339
194,0.0,2417
195,4862.264789249884,2512
196,0.0,2560
197,5088.363207081429,2532
198,0.0,2457
199,4893.345461210169,2399
200,0.0,2409
201,5008.040602618852,2487
202,0.0,2582
203,5402.929867201445,2630
204,0.0,2602
205,4748.750069136369,2527
206,0.0,2469
207,4742.784402952647,2479
208,0.0,2557
209,5450.465453580935,2652
210,0.0,2700
211,5292.161959542882,2672
212,0.0,2597
213,4671.440719168611,2539
214,0.0,2549
215,5224.240840186969,2627
216,0.0,2722
217,5472.193011818338,2770
218,0.0,2742
219,5212.777343307389,2667
220,0.0,2609
221,5603.725106004419,2619
222,0.0,2697
223,5505.706624416642,2792
224,0.0,2840
225,5709.725770044015,2812
226,0.0,2737
227,5238.733637161895,2679
228,0.0,2689
229,5920.458504524595,2767
230,0.0,2862
231,5765.068821107433,2910
232,0.0,2882
233,5260.953040555158,2807
234,0.0,2749
235,5467.86052578335,2759
236,0.0,2837
237,5668.022158591199,2932
238,0.0,2980
239,5732.725754140978,2952
240,0.0,2877
241,5569.419788580311,2819
242,0.0,2829
243,5895.846012136793,2907
244,0.0,3002
245,6181.199269799296,3050
246,0.0,3022
247,5841.530034418679,2947
248,0.0,2889
249,5901.4680481383,2899
250,0.0,2977
251,6083.397765449593,3072
252,0.0,3120
253,6013.6131023283615,3092
254,0.0,3017
255,5882.389750216237,2959
256,0.0,2969
257,6300.357796964607,3047
258,0.0,3142
259,6360.77747297132,3190
260,0.0,3162
261,6129.670868423022,3087
262,0.0,3029
263,6116.554162781829,3039
264,0.0,3117
